K,seed,round,best,mean_R,rho,rho_star,L_hat,L_analytic,alpha_S,alpha_T,cos_T1,in_supp_frac
3,2,6,0.7073693493381408,0.5120213723821565,0.6991428405605795,0.6023123775856201,6.602680556035024,5.0,2.834151739294991,1.4113570365837291,1.0,0.84375
3,2,7,0.7098204346884708,0.5423578709949521,0.7200835651663319,0.06836090329196813,136.282443888873,5.0,4.8952060243571855,0.8171259759236099,0.9999998807907104,0.84375
3,3,0,0.6229607296238604,0.4940848373301018,1.0,0.3333333333333333,20.0,5.0,3.7677594479299255,1.061638901124028,0.9999999403953552,1.0
3,3,1,0.6539191836707919,0.5035762160325093,1.0,0.3848992753052475,15.98082314410548,5.0,4.0993408904208195,0.9757666188110984,1.0,1.0
3,3,2,0.6721553015101883,0.5291674417468557,0.7443087390094955,0.605075530396053,6.526862346349531,5.0,2.9499027597593397,1.355976900176306,1.0,0.9375
3,3,3,0.6721553015101883,0.5048419293311964,1.0,0.3333333333333333,20.0,5.0,5.006217469762119,0.79900644032351,1.0000001192092896,1.0
3,3,4,0.6721553015101883,0.5104436360329861,0.7722781079176302,0.6410500355943638,5.599406356366984,5.0,3.4395728858802324,1.1629350889525771,1.0000001192092896,0.953125
3,3,5,0.6819381988486448,0.5498617750352102,0.9671812350858886,0.6216778126618097,6.085502484290786,5.0,4.328211895893968,0.9241691710599168,1.0,0.984375
3,3,6,0.7226088786606654,0.558628663889479,0.8094950128678572,0.3333333333333333,20.0,5.0,5.25080043292009,0.7617886170119608,1.0000001192092896,0.90625
3,3,7,0.7277199439443724,0.5876914843878607,0.7883681364655093,0.5682718307373009,7.597212212728475,5.0,4.52831886522377,0.8833300213725868,1.0,0.90625
3,4,0,0.6058070856299068,0.4999224790187748,1.0,0.3333333333333333,20.0,5.0,3.7677594479299255,1.061638901124028,1.0,1.0
3,4,1,0.6603299785541997,0.5032285370075333,0.7059497063848087,0.7970268418739509,2.546628889546848,5.0,2.0958458841029355,1.908537278594834,1.0,0.9375
3,4,2,0.6603299785541997,0.5013453647232377,0.7543283049035403,0.5264341087619888,8.995729633698936,5.0,2.7864393806374195,1.4355237827154774,1.0,0.875
3,4,3,0.6603299785541997,0.5068559742567709,0.843711492932056,0.6958029607802423,4.371884805989397,5.0,2.7029858478687867,1.479844965948995,0.9999999403953552,0.953125
3,4,4,0.6603299785541997,0.5044253987676415,0.6745289572478309,0.6035315918942203,6.569140927013275,5.0,2.587968304702909,1.5456139832667648,1.0000001192092896,0.859375
3,4,5,0.6675978547358058,0.5277777383251795,0.8327381256182622,0.6979603713948658,4.327460998989263,5.0,2.788946628510184,1.434233254630887,1.0,0.953125
3,4,6,0.6989439293915756,0.5261841456389086,0.7323547937288986,0.028379354566936677,342.36883123658083,5.0,4.920240067757099,0.8129684618871469,0.9999999403953552,0.9375
3,4,7,0.6989439293915756,0.5283642969503459,0.8345111408368203,0.3333333333333333,20.0,5.0,4.671567466660892,0.8562436545220421,1.0000001192092896,0.921875
5,0,0,0.614368371771724,0.49460778572933317,1.0,0.3333333333333333,20.0,3.3333333333333335,3.7677594479299255,1.061638901124028,1.0000001192092896,1.0
5,0,1,0.6964790817673456,0.5078428389700169,0.7017088429955913,0.19419783457868392,41.49388005121272,3.3333333333333335,3.7010478116230026,1.080775013886108,0.9999998807907104,0.921875
5,0,2,0.6964790817673456,0.49044284657786774,0.6965144651285379,0.04579042983239658,208.38624438779632,3.3333333333333335,4.693462340976546,0.8522493011348503,0.9999999403953552,0.875
5,0,3,0.6964790817673456,0.5041984159780024,0.8069221939693342,0.7702954785626327,2.982031283190118,3.3333333333333335,2.98298030253939,1.3409408022556597,1.0,0.921875
5,0,4,0.6964790817673456,0.4979331475650017,0.8756847412649503,0.3333333333333333,20.0,3.3333333333333335,4.858290870149456,0.8233348119555773,1.0,0.96875
5,0,5,0.6964790817673456,0.4887640385078038,0.9397908226864855,0.7216352005218725,3.85741714479587,3.3333333333333335,3.9795589173163357,1.0051365196767708,1.0,0.96875
5,0,6,0.6964790817673456,0.5156121564702068,0.6854377971338823,0.6103131959054768,6.3850299601727185,3.3333333333333335,3.6288748549044465,1.1022700313277476,0.9999999403953552,0.875
5,0,7,0.7075921525408779,0.5218670447674503,0.870291921426544,0.7585745366411356,3.182620186908242,3.3333333333333335,3.814122814112472,1.0487339278115986,1.0,0.9375
5,1,0,0.6557157993030023,0.5031483503441787,1.0,0.5767670007466839,7.338023824272152,3.3333333333333335,2.989835980418419,1.3378660321828795,1.0000001192092896,1.0
5,1,1,0.6557157993030023,0.4899257987431067,0.9419377177680731,0.23546403853516906,32.46933018821213,3.3333333333333335,4.258614087096092,0.9392727113077207,1.0,0.96875
5,1,2,0.6557157993030023,0.5149842021380575,0.711247849413239,0.794311740823516,2.5895155340802756,3.3333333333333335,2.316778908431086,1.7265350549607623,1.0,0.890625
5,1,3,0.6771685755228091,0.5072042623867044,0.8510039945230768,0.5223932645424546,9.142666413891535,3.3333333333333335,3.369134651622645,1.1872484817647515,0.9999999403953552,0.9375
5,1,4,0.6771685755228091,0.500026873146497,1.0,0.3333333333333333,20.0,3.3333333333333335,4.960622402823737,0.806350428471048,0.9999999403953552,1.0
5,1,5,0.6823687122900157,0.5073648376134755,0.7308683939132448,0.7613625996917999,3.1343462419194306,3.3333333333333335,2.9228574653850856,1.3685237981568839,1.0000001192092896,0.875
5,1,6,0.7113708984886931,0.5387619811248578,0.5583997576169014,0.3333333333333333,20.0,3.3333333333333335,3.7033783818236863,1.080094872193493,1.0,0.796875
5,1,7,0.7113708984886931,0.5447659298847985,0.7380252466292017,0.3333333333333333,20.0,3.3333333333333335,4.594697763839571,0.8705686871245671,1.0,0.9375
5,2,0,0.622416846171278,0.49541724358471784,1.0,0.859017048545769,1.6412124962234609,3.3333333333333335,2.286634267966328,1.7492959219742183,1.0,1.0
5,2,1,0.6642574389176692,0.5054857509645183,0.755524557905911,0.3333333333333333,20.0,3.3333333333333335,3.0722968276287643,1.3019575335392473,1.0000001192092896,0.890625
5,2,2,0.6642574389176692,0.47687810507891604,0.8365863371265514,0.3333333333333333,20.0,3.3333333333333335,3.6105942441609784,1.1078508770318807,1.0000001192092896,0.953125
5,2,3,0.6642574389176692,0.5016557883327059,0.8421320200872712,0.1736905512657174,47.573655717757944,3.3333333333333335,4.671368231239507,0.8562801736010082,1.0000001192092896,0.953125
5,2,4,0.6642574389176692,0.5024562544130329,0.9003124851729336,0.7516920392263957,3.303320346842446,3.3333333333333335,3.258641314913258,1.227505458085827,0.9999998211860657,0.984375
5,2,5,0.6683855834202007,0.5007959513880929,0.7840526305271351,0.31415378811226674,21.83154358917479,3.3333333333333335,4.555106447311045,0.8781353512301049,1.0,0.90625
5,2,6,0.6683855834202007,0.5026782530005639,0.7769787933454181,0.5676519526017573,7.616428436767158,3.3333333333333335,3.9066696794354985,1.0238899953727307,1.0,0.921875
5,2,7,0.6683855834202007,0.5354497891878742,0.7979346995244877,0.5385702411246536,8.567680195470498,3.3333333333333335,4.2720182411851315,0.9363255899605736,1.0,0.953125
5,3,0,0.6407931804616022,0.4977328206239061,1.0,0.5873182882399639,7.026542847775658,3.3333333333333335,2.9600163936975887,1.3513438670531437,0.9999999403953552,1.0
5,3,1,0.6407931804616022,0.5016479391564075,0.6816568173608298,0.3333333333333333,20.0,3.3333333333333335,3.024031372411197,1.3227376000436857,1.0000001192092896,0.890625
5,3,2,0.6700248385208433,0.4866056399387154,0.8011023161003851,0.2776105531497523,26.02168536657059,3.3333333333333335,3.829236340928885,1.0445947034519398,0.9999999403953552,0.9375
5,3,3,0.684352327588179,0.4949553512852948,0.7215584585657997,0.38752026606260614,15.805102018546924,3.3333333333333335,3.5515454798408865,1.1262702456450606,1.0,0.8125
5,3,4,0.684352327588179,0.5089368271392317,0.7975997783734173,0.5114470568794247,9.55236591058834,3.3333333333333335,3.6280644482723483,1.1025162471699652,0.9999998211860657,0.953125
5,3,5,0.684352327588179,0.4952321818583972,0.8291678654654372,0.703000510324731,4.224740740772416,3.3333333333333335,3.3000702050070005,1.2120954257067131,1.0000001192092896,0.921875
5,3,6,0.6943032558264204,0.5230334312029201,0.7700655729077145,0.3333333333333333,20.0,3.3333333333333335,4.545846021861691,0.8799242166943994,1.0000001192092896,0.890625
5,3,7,0.6979785818188285,0.5156937627626975,0.9651401721759204,0.13250000257316147,65.47169664754067,3.3333333333333335,7.225907525475233,0.5535636853776271,1.0000001192092896,0.96875
5,4,0,0.6309002582409764,0.4991406731257662,1.0,0.3333333333333333,20.0,3.3333333333333335,3.7677594479299255,1.061638901124028,1.0,1.0
5,4,1,0.66892824905888,0.49865892903459924,0.7931367098042701,0.6369800536188597,5.699078712413735,3.3333333333333335,2.6507147941535965,1.5090269269339653,0.9999998807907104,0.875
5,4,2,0.66892824905888,0.5005951899735712,0.9421995815498624,0.5064787723079058,9.744164112608965,3.3333333333333335,3.566720741703923,1.1214783241171518,1.0000001192092896,0.984375
5,4,3,0.66892824905888,0.5067735753208029,0.8904491953792139,0.692739134253176,4.43544836077543,3.3333333333333335,3.1039657404952745,1.2886740171822104,1.000000238418579,0.921875
5,4,4,0.66892824905888,0.5098406097064347,0.8610304614846873,0.3744785543406919,16.70379888003475,3.3333333333333335,4.248739416217886,0.9414557138363387,0.9999997615814209,0.96875
5,4,5,0.66892824905888,0.5099968410146567,0.7596509279117099,0.7915220460346806,2.633886889313313,3.3333333333333335,2.8617428816904376,1.3977496111171217,1.0,0.9375
5,4,6,0.679737517406606,0.525715613847574,0.7695263502460277,0.2190772686397025,35.64599541564551,3.3333333333333335,4.944425619488039,0.808991844115186,0.9999998807907104,0.9375
5,4,7,0.6862937089455963,0.551216211321937,0.6023983059586592,0.5519508529306362,8.117555117279078,3.3333333333333335,3.432706694368602,1.1652612227435712,0.9999999403953552,0.890625
10,0,0,0.6448915796530075,0.5030150270178897,1.0,0.7006225841059806,4.273019778202493,1.8181818181818181,2.657951532790595,1.5049183367916354,0.9999998807907104,1.0
10,0,1,0.646374918041092,0.49399810605568895,0.7829832935605184,0.19922795877858096,40.193758252142985,1.8181818181818181,3.697253444791723,1.0818841769245635,0.9999998211860657,0.953125
10,0,2,0.6593213192105182,0.4874080697286161,0.9467694172372476,0.3333333333333333,20.0,1.8181818181818181,4.273948086203775,0.9359028044612723,0.9999999403953552,0.96875
10,0,3,0.6794537814309998,0.49859907027538136,0.8341871785910153,0.7553848041432919,3.238285897664234,1.8181818181818181,2.907586056849635,1.3757116459466014,0.9999998807907104,0.96875
10,0,4,0.6794537814309998,0.5057725751898754,0.7270944574603483,0.6311719644580862,5.843542747634291,1.8181818181818181,3.0022073177923843,1.3323530244877704,0.9999998807907104,0.921875
10,0,5,0.6794537814309998,0.5119073436815234,0.6362480247548157,0.21342370615935885,36.855151098037894,1.8181818181818181,4.1748942290875055,0.9581081053816944,1.0000001192092896,0.890625
10,0,6,0.7210423576815239,0.5206662387923835,0.7624241235041728,0.7547387473261558,3.2496178782756484,1.8181818181818181,3.0626234708002107,1.306069792169022,1.0,0.9375
10,0,7,0.7210423576815239,0.5058426383685606,0.7589382794366023,0.3333333333333333,20.0,1.8181818181818181,4.562325897455528,0.8767457849144128,0.9999998211860657,0.953125
10,1,0,0.6538047841793038,0.4925270231236326,1.0,0.8539338729308927,1.7105086435765275,1.8181818181818181,2.2977031677816098,1.7408689059962112,1.0,1.0
10,1,1,0.6538047841793038,0.5050621922663592,1.0,0.14111745473630485,60.86295610054912,1.8181818181818181,4.656661727685294,0.858984447210061,1.0,1.0
10,1,2,0.7264439334262657,0.5061807335714683,0.8014642681876878,0.6208401060705648,6.107206835093539,1.8181818181818181,2.90295698945692,1.3779053615080643,0.9999998807907104,0.953125
10,1,3,0.7264439334262657,0.5106678885951879,0.8022535672033779,0.1044893640007332,85.70352059880305,1.8181818181818181,4.91915978489429,0.8131469956074945,1.0,0.859375
