best_so_far,mean_R,method,round,seed
1.0,0.04570922322349027,random,11,5
1.0,0.028915640067314934,random,12,5
1.0,0.04058870548659227,random,13,5
1.0,0.03499466964171632,random,14,5
1.0,0.02990446154782768,random,15,5
1.0,0.028814301446332166,random,16,5
1.0,0.022107728268896468,random,17,5
1.0,0.02011611107310187,random,18,5
1.0,0.03389696862591763,random,19,5
1.0,0.030935364904238156,pex,0,5
1.0,0.16902819934952887,pex,1,5
1.0,0.2719585851459611,pex,2,5
1.0,0.2876201206365191,pex,3,5
1.0,0.2323898063076841,pex,4,5
1.0,0.21350814911171404,pex,5,5
1.0,0.29078687977961687,pex,6,5
1.0,0.20937229009709593,pex,7,5
1.0,0.28477686820879755,pex,8,5
1.0,0.2681161483249426,pex,9,5
1.0,0.2573461400568619,pex,10,5
1.0,0.33512369960210764,pex,11,5
1.0,0.27091289284051273,pex,12,5
1.0,0.2326520978669632,pex,13,5
1.0,0.2975381567485857,pex,14,5
1.0,0.25656133114301094,pex,15,5
1.0,0.27469848975073424,pex,16,5
1.0,0.26359785193831414,pex,17,5
1.0,0.24154870891004251,pex,18,5
1.0,0.3003056926883732,pex,19,5
1.0,0.030935364904238156,adalead,0,5
1.0,0.6123800559353906,adalead,1,5
1.0,0.8589452577865515,adalead,2,5
1.0,0.8817655966516795,adalead,3,5
1.0,0.9129505938044131,adalead,4,5
1.0,0.9172448114502558,adalead,5,5
1.0,0.8995387820367654,adalead,6,5
1.0,0.8872282077928126,adalead,7,5
1.0,0.9309721210064293,adalead,8,5
1.0,0.8723015832879653,adalead,9,5
1.0,0.894028660216006,adalead,10,5
1.0,0.8425814170574442,adalead,11,5
1.0,0.8988875648018982,adalead,12,5
1.0,0.8910335556980624,adalead,13,5
1.0,0.9340504794224884,adalead,14,5
1.0,0.8944255086606152,adalead,15,5
1.0,0.8765094578427736,adalead,16,5
1.0,0.8816559669983783,adalead,17,5
1.0,0.8583188172185428,adalead,18,5
1.0,0.8618564609659558,adalead,19,5
1.0,0.04149205782098624,price_rl,0,5
1.0,0.21883355023547757,price_rl,1,5
1.0,0.5486343111293255,price_rl,2,5
1.0,0.7866027413300563,price_rl,3,5
1.0,0.9578348512813929,price_rl,4,5
1.0,0.9806693890238857,price_rl,5,5
1.0,0.9718537198597551,price_rl,6,5
1.0,0.9908524048200624,price_rl,7,5
1.0,0.9993701500213955,price_rl,8,5
1.0,0.994035860352877,price_rl,9,5
1.0,0.9990255909881115,price_rl,10,5
1.0,0.99420127384416,price_rl,11,5
1.0,0.997333019773452,price_rl,12,5
1.0,0.9997706408434146,price_rl,13,5
1.0,1.0,price_rl,14,5
1.0,0.995,price_rl,15,5
1.0,1.0,price_rl,16,5
1.0,0.9950922754515168,price_rl,17,5
1.0,0.9998555958011147,price_rl,18,5
1.0,0.997001059077178,price_rl,19,5
1.0,0.04149205782098624,price_rl_fixed,0,5
1.0,0.0396065774206381,price_rl_fixed,1,5
1.0,0.08823319062393747,price_rl_fixed,2,5
1.0,0.06733855612908267,price_rl_fixed,3,5
1.0,0.12969170484658102,price_rl_fixed,4,5
1.0,0.12677715237212392,price_rl_fixed,5,5
1.0,0.1330289341555285,price_rl_fixed,6,5
1.0,0.23698122240724664,price_rl_fixed,7,5
1.0,0.2707754453315709,price_rl_fixed,8,5
1.0,0.3640305789210407,price_rl_fixed,9,5
1.0,0.4333537687346418,price_rl_fixed,10,5
1.0,0.514918300183346,price_rl_fixed,11,5
1.0,0.6105737897839748,price_rl_fixed,12,5
1.0,0.6196930933647858,price_rl_fixed,13,5
1.0,0.781040190173885,price_rl_fixed,14,5
1.0,0.7842746271349452,price_rl_fixed,15,5
1.0,0.8230849598705015,price_rl_fixed,16,5
1.0,0.8532412974951258,price_rl_fixed,17,5
1.0,0.8609894659358832,price_rl_fixed,18,5
1.0,0.9318361051509437,price_rl_fixed,19,5
1.0,0.0294220615022338,random,0,6
1.0,0.030998370050871662,random,1,6
1.0,0.04286901096887058,random,2,6
1.0,0.012233549255013174,random,3,6
1.0,0.029365113791779973,random,4,6
1.0,0.01916422925252027,random,5,6
1.0,0.025255713485273848,random,6,6
1.0,0.05460184847884912,random,7,6
1.0,0.02756628062462595,random,8,6
1.0,0.044778536753268885,random,9,6
1.0,0.04016033094261132,random,10,6
1.0,0.04069090151587184,random,11,6
1.0,0.040178020286852655,random,12,6
1.0,0.036220426601057544,random,13,6
1.0,0.0349750025939974,random,14,6
1.0,0.025580903301025075,random,15,6
1.0,0.03908929131781414,random,16,6
1.0,0.036041607778247366,random,17,6
1.0,0.05411745414662342,random,18,6
1.0,0.02245588750795248,random,19,6
1.0,0.0294220615022338,pex,0,6
1.0,0.0995714980694828,pex,1,6
1.0,0.20510981905974354,pex,2,6
1.0,0.29713459902496636,pex,3,6
1.0,0.28967213383763357,pex,4,6
1.0,0.25248581527040703,pex,5,6
1.0,0.2470861797277374,pex,6,6
1.0,0.2132075254296482,pex,7,6
1.0,0.24394838175864564,pex,8,6
1.0,0.26182356175672816,pex,9,6
1.0,0.27017718014728437,pex,10,6
1.0,0.22476314338343673,pex,11,6
1.0,0.23144574257447792,pex,12,6
1.0,0.21069874749350015,pex,13,6
1.0,0.25601699703212105,pex,14,6
1.0,0.2570366038644944,pex,15,6
1.0,0.21814354755397147,pex,16,6
1.0,0.25406855519754734,pex,17,6
1.0,0.2531942173868845,pex,18,6
