K,seed,round,best,rho,rho_star,L_hat,L_analytic,cos_T1
0,3,4,0.7917814867222077,0.8295576662507242,0.7674754458322015,6.059465626699331,40.0,0.9999998211860657
0,3,5,0.8049918882952747,0.7009555294053977,0.8210260544902619,4.359762873076053,40.0,1.0
0,3,6,0.8118344227277057,0.5525830118552222,0.8019195318315271,4.940158215527466,40.0,1.0000001192092896
0,3,7,0.8189648554350615,0.6082417622190558,0.7388095874773078,7.070574528263401,40.0,1.0000001192092896
0,3,8,0.8189648554350615,0.6399778965431546,0.823592514656054,4.283853536906337,40.0,0.9999999403953552
0,3,9,0.8225453948982822,0.47634927193329546,0.6593862217126719,10.331237355934649,40.0,1.0
0,3,10,0.8234073818922104,0.46791911415904097,0.5932830840695836,13.710720121685252,40.0,1.0000001192092896
0,3,11,0.8234073818922104,0.5427261609155616,0.4297291548455101,26.540942764728413,40.0,1.0
0,3,12,0.8234590617429649,0.6209017227506162,0.5550529110985071,16.032600856768656,40.0,1.0
0,3,13,0.8238741709607973,0.5159361744432138,0.5591149678901243,15.770818433768605,40.0,0.9999999403953552
0,3,14,0.8238741709607973,0.34948535338113784,0.48905229564781577,20.895421978353664,40.0,1.0
0,3,15,0.8238741709607973,0.3758977243123482,0.39050250735992925,31.21606039155554,40.0,1.0
0,4,0,0.5821187593387355,1.0,0.6506283322692877,10.739515954128823,40.0,0.9999998211860657
0,4,1,0.6655925240832293,0.6467456638715388,0.8451115329094364,3.665515403803198,40.0,1.0
0,4,2,0.7209294959769627,0.690075502051578,0.8491170238988388,3.5538794266156852,40.0,0.9999999403953552
0,4,3,0.7454287946537693,0.7145904796838799,0.718992785547388,7.816690795824159,40.0,1.0000001192092896
0,4,4,0.7582731176185906,0.8105838611372563,0.5599174066468372,15.719553924521618,40.0,0.9999999403953552
0,4,5,0.7773299847754324,0.8285546624933251,0.574947998407271,14.785754634165674,40.0,1.0000001192092896
0,4,6,0.7861776346589153,0.6025090561405846,0.7855816014174342,5.458844713157439,40.0,1.0
0,4,7,0.7876876651821232,0.6198353963755938,0.7967475871836424,5.102052797795543,40.0,0.9999999403953552
0,4,8,0.7889272167208825,0.6552102873437448,0.520002733956753,18.46133624686546,40.0,1.0
0,4,9,0.7889272167208825,0.4452853144385602,0.6990743653560655,8.609259602607844,40.0,1.0000001192092896
0,4,10,0.7889272167208825,0.3094869918513104,0.5452142453949397,16.682827290237977,40.0,1.0
0,4,11,0.7889272167208825,0.46141304234699043,0.3333333333333333,40.0,40.0,1.0
0,4,12,0.7889272167208825,0.4756254254277283,0.5703812428263594,15.064266666441874,40.0,1.0
0,4,13,0.7889272167208825,0.6206627993972416,0.41525017135550746,28.163736897961286,40.0,1.0000001192092896
0,4,14,0.7889272167208825,0.647427883227909,0.6064121913080358,12.980867282466473,40.0,0.9999998807907104
0,4,15,0.7889272167208825,0.6594835673840591,0.4769120754009377,21.936451248767597,40.0,1.0000001192092896
0,5,0,0.6036543616555201,1.0,0.8673325701093312,3.0592055334425035,40.0,1.0
0,5,1,0.6702145343074613,0.7764438538404799,0.7721995950355747,5.900039482769498,40.0,1.0000001192092896
0,5,2,0.7051169980540536,0.5728834068542317,0.8409701951707558,3.7820556719481333,40.0,1.0000001192092896
0,5,3,0.7288354647430997,0.776260573770964,0.8290632743779528,4.123611089884572,40.0,0.9999999403953552
0,5,4,0.7616856841433657,0.7111885273000583,0.819505752941837,4.404953751946956,40.0,1.000000238418579
0,5,5,0.7713957455904134,0.6659358918007895,0.7119019963776364,8.093754620391278,40.0,1.0
0,5,6,0.7777416382966724,0.5107489617167689,0.7093908372630333,8.193203167331365,40.0,1.0
0,5,7,0.7777416382966724,0.5467953909568894,0.7194560193742631,7.798780552833131,40.0,0.9999998807907104
0,5,8,0.7821373397458151,0.5655233713801614,0.7649032182173584,6.147098774941624,40.0,1.0000001192092896
0,5,9,0.7847127342818736,0.5398312626877189,0.6930450426788999,8.858153176728452,40.0,1.0000001192092896
0,5,10,0.7848073880841009,0.4457457330755645,0.22570116819107205,68.6127447203489,40.0,1.0
0,5,11,0.7850312199555869,0.6720670532896436,0.6814003230632264,9.351321569808267,40.0,0.9999999403953552
0,5,12,0.7877386209863023,0.6440061148017429,0.3754009051811984,33.27637659889607,40.0,0.9999999403953552
0,5,13,0.7877386209863023,0.6477524784352048,0.5081532968686191,19.35820179313117,40.0,1.0
0,5,14,0.7877386209863023,0.6035139321486451,0.5962702663516072,13.541836862625729,40.0,0.9999999403953552
0,5,15,0.7877386209863023,0.5411325197882312,0.5127659452821235,19.004150302914546,40.0,0.9999998807907104
0,6,0,0.566305890832163,1.0,0.6601106384133613,10.297951337478674,40.0,0.9999998807907104
0,6,1,0.6984943254916096,0.9328371272964259,0.8451288962321385,3.6650291916020774,40.0,0.9999998807907104
0,6,2,0.7525741557409285,0.6965395344051399,0.8472360026932277,3.6061734114499355,40.0,1.0
0,6,3,0.7676418918034883,0.6976376488173233,0.823589693633727,4.283936715816346,40.0,1.0000001192092896
0,6,4,0.7759182918695056,0.7089371396602168,0.8109154290759584,4.663484357166675,40.0,1.0000001192092896
0,6,5,0.7828124064884198,0.5954400755555681,0.8104626843286261,4.67726199703774,40.0,1.0000001192092896
0,6,6,0.7828124064884198,0.8247879037823963,0.6841755133623495,9.232265126986068,40.0,1.0000001192092896
0,6,7,0.7885700831078006,0.6045453387926537,0.7335961316311849,7.262957283497496,40.0,1.0000001192092896
0,6,8,0.7885700831078006,0.7354260070911091,0.5824837145087496,14.335723904087928,40.0,1.0000001192092896
0,6,9,0.790069841305522,0.5173809502557906,0.5783738279528352,14.579711310227106,40.0,1.0
0,6,10,0.7905029556159563,0.6406624565642304,0.5695864776626517,15.113193139822705,40.0,1.0000001192092896
0,6,11,0.7924767650356165,0.5016747506190905,0.5808839039018051,14.430287817685645,40.0,1.0
0,6,12,0.792654702902255,0.36891659078065075,0.37294346981900905,33.62743047815284,40.0,1.0
0,6,13,0.792654702902255,0.4652726806651669,0.7158632223321015,7.9382979542447405,40.0,0.9999999403953552
0,6,14,0.792654702902255,0.6907096918116692,0.4901945257798372,20.80012923070192,40.0,1.0000001192092896
0,6,15,0.792654702902255,0.35630054645757625,0.7125241609302392,8.069223609047741,40.0,1.0000001192092896
0,7,0,0.5711271690480881,1.0,0.9008488026843079,2.2012838784987214,40.0,0.9999998807907104
0,7,1,0.6419277629321727,0.8419601962127488,0.7684604651341813,6.0260623772073805,40.0,1.0
0,7,2,0.7252230930012821,0.7337559093268559,0.8111222648973978,4.657195179483679,40.0,0.9999998807907104
0,7,3,0.7487705410956558,0.7080541787295958,0.8136100899729608,4.581799373536127,40.0,1.0
0,7,4,0.7681198606835987,0.5406138331104934,0.6689855044228541,9.896013990997254,40.0,1.0000001192092896
0,7,5,0.7799595379507961,0.5218739409765232,0.5372678309497932,17.225381546934578,40.0,1.0
0,7,6,0.7923872416706418,0.6035402361725916,0.7192814009441723,7.805529204212412,40.0,1.0
0,7,7,0.7973851189887273,0.6325648242261936,0.6118639274369991,12.687006216850904,40.0,1.0000001192092896
0,7,8,0.8006028528985019,0.589187234350831,0.6186903177193781,12.326350400510847,40.0,1.0000001192092896
0,7,9,0.8053828668858276,0.5843202130308295,0.44881467298704353,24.561822961116437,40.0,1.0000001192092896
0,7,10,0.8054035236935218,0.38775139486690613,0.6452225626264192,10.997056145384525,40.0,1.0000001192092896
0,7,11,0.8063266888733424,0.49206125851273325,0.49766628665287443,20.187572548891854,40.0,0.9999998807907104
0,7,12,0.8063266888733424,0.555349598408992,0.18722738102773845,86.82198239496243,40.0,1.0
0,7,13,0.8063473456810364,0.5843556313176853,0.3333333333333333,40.0,40.0,1.0
0,7,14,0.8063473456810364,0.4420550303639774,0.06707369542293778,278.17948562232374,40.0,1.0
0,7,15,0.8063473456810364,0.5543818445828577,0.10895080927805913,163.5690816114724,40.0,1.0
0,8,0,0.5575193603077432,1.0,0.7647179451854113,6.153433597207998,40.0,1.0
0,8,1,0.6722100635284993,0.8266026008739374,0.8093372953891848,4.711575895415311,40.0,1.0
0,8,2,0.715937100772279,0.639823622783635,0.8074500568286069,4.769333819299356,40.0,1.0
0,8,3,0.739501726344635,0.6945972668517848,0.8783803955675668,2.769178479987561,40.0,1.0000001192092896
0,8,4,0.7489153099428328,0.6107354051597941,0.8744035209519838,2.8727349796413493,40.0,1.0000001192092896
0,8,5,0.7563759671919481,0.7315894317485985,0.7986871138377033,5.041095134112914,40.0,1.0
0,8,6,0.7651034119275931,0.7639178770405909,0.8156880280449395,4.519178058719924,40.0,0.9999998807907104
0,8,7,0.7757497065861897,0.6679595126522961,0.743870547736913,6.886398528408282,40.0,1.0000001192092896
0,8,8,0.7766160362129322,0.6096356711799471,0.5012501631373273,19.900236390587686,40.0,1.0000001192092896
0,8,9,0.7782179068179774,0.7152868413832207,0.7336440102935678,7.261178063727386,40.0,1.0000001192092896
0,8,10,0.7793762559718903,0.5405463155450956,0.6878591963073847,9.075717977407937,40.0,1.0
0,8,11,0.7811662137888622,0.5773476501754726,0.2728574366006999,53.29835041024753,40.0,1.0
0,8,12,0.7811886666386083,0.546356808990705,0.46150618565526524,23.336363892074786,40.0,1.0000001192092896
0,8,13,0.7812104640759006,0.5086930147947348,0.39017074523145445,31.259609400329932,40.0,1.0000001192092896
0,8,14,0.7817657597534159,0.4862329558220614,0.5683518272992146,15.189470745680907,40.0,1.0
0,8,15,0.7823245629427752,0.3858719038001585,0.40593984050746357,29.268384140364468,40.0,0.9999998807907104
0,9,0,0.6505162227843175,1.0,0.7831703127415067,5.537229482038861,40.0,1.0
