task,base_lr,inner_steps,support_q,best_mean,best_std,cos_T1_min
GB1,2.0,8,0.2,0.14373744139316813,0.04124441937043094,nan
GB1,2.0,16,0.02,0.17628935030140655,0.08803874766300489,nan
GB1,2.0,16,0.05,0.20214333556597458,0.036718796916594465,nan
GB1,2.0,16,0.1,0.1728064300066979,0.08748626748996509,nan
GB1,2.0,16,0.2,0.16771600803750836,0.0845325728973563,nan
GB1,4.0,4,0.02,0.1728064300066979,0.02723016947841267,nan
GB1,4.0,4,0.05,0.16878767582049564,0.02829981727233806,nan
GB1,4.0,4,0.1,0.16168787675820498,0.029793641281959014,nan
GB1,4.0,4,0.2,0.15954454119223044,0.025109264203059995,nan
GB1,4.0,8,0.02,0.1756195579370395,0.08774781024945699,nan
GB1,4.0,8,0.05,0.1752176825184193,0.0882628783759924,nan
GB1,4.0,8,0.1,0.17200267916945747,0.08742717399522809,nan
GB1,4.0,8,0.2,0.1619557937039518,0.08311839884031091,nan
GB1,4.0,16,0.02,0.15632953784326858,0.10327894197867565,nan
GB1,4.0,16,0.05,0.15619557937039516,0.10310922104837822,nan
GB1,4.0,16,0.1,0.15606162089752176,0.10303052606147552,nan
GB1,4.0,16,0.2,0.15606162089752176,0.1030061393132327,nan
