best_so_far,mean_R,method,round,seed
1.0,0.2825729507232332,pex,9,2
1.0,0.26640784888829555,pex,10,2
1.0,0.26278036893323636,pex,11,2
1.0,0.23702567846923825,pex,12,2
1.0,0.24091908897428513,pex,13,2
1.0,0.2473351243239934,pex,14,2
1.0,0.2502749530842716,pex,15,2
1.0,0.26987208964271586,pex,16,2
1.0,0.2740107818616034,pex,17,2
1.0,0.19501537578438918,pex,18,2
1.0,0.2422677474800214,pex,19,2
1.0,0.26582751395646426,pex,20,2
1.0,0.24334199751392258,pex,21,2
1.0,0.24062016792755692,pex,22,2
1.0,0.22759377004916226,pex,23,2
1.0,0.23042552401266864,pex,24,2
1.0,0.31464395161730924,pex,25,2
1.0,0.2681351951466874,pex,26,2
1.0,0.2533489274752336,pex,27,2
1.0,0.2651863871194708,pex,28,2
1.0,0.24277389400971772,pex,29,2
1.0,0.27707588034246,pex,30,2
1.0,0.3193541776656687,pex,31,2
1.0,0.24851263380468552,pex,32,2
1.0,0.2528811448121693,pex,33,2
1.0,0.23935189668826978,pex,34,2
1.0,0.2745784114279491,pex,35,2
1.0,0.2624900303260218,pex,36,2
1.0,0.24441932915097475,pex,37,2
1.0,0.2375214471997734,pex,38,2
1.0,0.2898911255838823,pex,39,2
1.0,0.03711334988182879,adalead,0,2
1.0,0.6144276408850124,adalead,1,2
1.0,0.8462944436394878,adalead,2,2
1.0,0.8936411095520078,adalead,3,2
1.0,0.8628772744172865,adalead,4,2
1.0,0.8930370693674289,adalead,5,2
1.0,0.8951141932682621,adalead,6,2
1.0,0.9131697018905137,adalead,7,2
1.0,0.8796016135240075,adalead,8,2
1.0,0.867290247386434,adalead,9,2
1.0,0.8646924186960413,adalead,10,2
1.0,0.8221995981725608,adalead,11,2
1.0,0.8269967441862672,adalead,12,2
1.0,0.8999779844117018,adalead,13,2
1.0,0.8672607494406944,adalead,14,2
1.0,0.8126245632998453,adalead,15,2
1.0,0.8811284650872767,adalead,16,2
1.0,0.8657447941118206,adalead,17,2
1.0,0.8695207279899125,adalead,18,2
1.0,0.8159139870550777,adalead,19,2
1.0,0.8283973052223907,adalead,20,2
1.0,0.8270454363617893,adalead,21,2
1.0,0.8693343915100936,adalead,22,2
1.0,0.8260592608280042,adalead,23,2
